method,task,micro_RMSE,macro_RMSE
Naive persistence (y[t-1]),nowcast,38.09149907246106,7.775394688769025
Moving average (w=5),nowcast,63.56630584060387,12.975417845264799
"Ridge (val-tuned, alpha=0.1)",nowcast,0.002091404806839926,0.001938702251467951
Random Forest (n=200),nowcast,7.662070510245141,1.5640135936105788
Naive lead-1 (y[t]),lead1,39.03174455918328,7.967321495054379
"Ridge lead-1 (val-tuned, alpha=0.1)",lead1,38.30798675476116,8.039009791747265
"AR(p) ridge (p=5, alpha=0.1)",lead1,38.86087171110349,8.043858107601702
"ARIMA(p,1,0) ridge (p=5, alpha=100.0)",lead1,40.065042129669784,8.22999516528652
Kalman RW baseline,lead1,71.40672811561942,14.575837340409741
