rank,idx,iface,mi_sum
1,5,port5,2.871921
2,6,port6,1.123441
3,3,port3,0.255718
4,0,port0,0.245702
5,2,port2,0.242987
6,23,port23,0.235274
7,22,port22,0.234516
8,20,port20,0.232466
9,21,port21,0.231970
10,14,port14,0.230515
11,19,port19,0.230059
12,1,port1,0.227226
13,4,port4,0.226739
14,15,port15,0.216962
15,9,port9,0.216324
16,16,port16,0.215038
17,8,port8,0.214469
18,18,port18,0.213738
19,11,port11,0.211312
20,10,port10,0.210172
21,13,port13,0.209946
22,7,port7,0.209115
23,17,port17,0.206860
24,12,port12,0.205545
